"Factor","Beta_true","Beta_est","Beta2_est","Posterior_SD","Abs_Error","Sign_Match"
1,1.5,-0.2827,0.082158,0.047,1.7827,FALSE
2,-1.2,0.8535,0.731645,0.0568,2.0535,FALSE
3,0.8,0,0,0,0.8,FALSE
4,-0.5,-0.7618,0.583025,0.0518,0.2618,TRUE
5,0,1.0148,1.03307,0.0575,1.0148,TRUE
