"Factor","Beta","NonZero_Pct","PVE_Pct"
1,0.1654,100,9.544
2,0,100,9.049
3,0.2498,100,6.172
4,0.5759,100,3.32
5,0,100,2.682
6,0.1166,100,1.976
7,-0.1868,99.98,1.433
8,0.0704,100,1.436
9,0.3564,100,0.912
10,0.0876,100,1.4
