"Factor","Beta","NonZero_Pct","PVE_Pct"
1,0.4251,100,7.948
2,0,100,8.807
3,0.2724,100,6.146
4,0.2188,100,5.569
5,0.0782,100,2.974
6,0,100,1.997
7,-0.1388,100,1.519
8,0.2307,100,1.398
9,0.317,100,1.132
10,0.0568,100,1.637
