"GeneName","Weight"
"CXCL14",0.8451
"EPYC",0.7938
"ANKFN1",0.7935
"CYP26A1",0.7626
"ST8SIA2",0.715
"PADI1",0.6849
"LINC00922",0.6744
"NDNF",0.6734
"WNT7A",0.6673
"MATN3",0.6646
