"Factor","Beta","LogRank_P","NonZero_Pct","PVE_Pct"
1,0,0.5079,100,15.81
2,-0.365,7e-04,100,4.88
3,-0.117,0.3428,100,3.83
4,0.201,0.0075,100,2.88
5,0,0.6344,100,1.1
6,0,0.5319,100,1.02
7,-0.044,0.728,100,1.35
8,0,0.9842,100,1.12
