"Factor","Beta","NonZero_Pct","PVE_Pct"
1,-0.1428,100,11.217
2,0,100,5.314
3,-0.0445,100,3.497
4,0.0111,100,3.783
5,0,100,1.806
6,0,100,2.556
7,-0.0891,100,1.933
8,0,100,1.563
9,-0.0743,100,1.276
10,-0.2293,100,0.886
