"Factor","Beta","NonZero_Pct","PVE_Pct"
1,-0.6444,100,11.594
2,0.1904,100,8.413
3,0,100,4.08
4,0,100,3.271
5,0.0489,100,1.791
6,0,100,2.013
7,0,100,1.202
8,0.3319,100,1.14
9,-0.8179,100,2.173
