"Factor","Beta","NonZero_Pct","PVE_Pct"
1,-0.5838,100,12.852
2,0,100,7.768
3,0,100,3.897
4,0.0054,100,3.005
5,0.1494,100,1.591
6,0,99.98,1.901
7,0,100,1.061
8,0.2393,100,0.902
9,-0.8489,99.92,2.076
