"Factor","Beta","NonZero_Pct","PVE_Pct"
1,-0.0091,100,13.845
2,0,100,9.883
3,0,100,8.168
4,0,100,3.975
5,-0.2227,100,4.174
6,0.1968,100,2.683
7,0.1239,99.98,2.458
8,0.2387,100,1.519
9,0,100,1.337
10,0,100,1.426
