"Factor","Abs_Beta","PVE_Pct","Active"
1,0.0091,13.845,TRUE
2,0,9.883,TRUE
3,0,8.168,TRUE
4,0,3.975,TRUE
5,0.2227,4.174,TRUE
6,0.1968,2.683,TRUE
7,0.1239,2.458,TRUE
8,0.2387,1.519,TRUE
9,0,1.337,TRUE
10,0,1.426,TRUE
