"Factor","Beta","LogRank_P","NonZero_Pct","PVE_Pct"
1,-0.013,0.7385,100,13.27
2,0,0.5479,100,9.9
3,0,0.8797,100,7.98
4,0,0.4828,100,3.87
5,-0.258,0.0912,100,4.04
