"Factor","Beta","NonZero_Pct","PVE_Pct"
1,0,100,15.805
2,-0.3648,100,4.881
3,-0.1166,99.68,3.828
4,0.201,100,2.876
5,0,100,1.102
6,0,99.94,1.024
7,-0.0443,100,1.354
8,0,100,1.122
