"Factor","Beta","LogRank_P","NonZero_Pct","PVE_Pct"
1,-0.283,0.7235,100,25.12
2,0.853,0,100,18.32
3,0,0.8152,100,15.52
4,-0.762,3e-04,100,15.38
5,1.015,0,100,13.31
