"strength","arm","seed","rec_mean","frac_recov","c_index","n_iter"
1,"YFB_alpha0",2,0.937284151613372,1,0.5,11
1,"LB_tuned",2,0.677915527890614,0.75,0.682023034551828,44
1,"PCA_Cox",2,0.676916537400751,0.75,0.701552328492739,NA
1,"EBMF",2,0.938064939530697,1,0.70806209313971,4
1,"YFB_tuned",3,0.924313508339244,1,0.862208713272543,32
1,"YFB_alpha0",3,0.924430731745335,1,0.5,13
1,"LB_tuned",3,0.657597673200009,0.75,0.827760891590679,13
1,"PCA_Cox",3,0.577839975127744,0.25,0.832826747720365,NA
1,"EBMF",3,0.405181506408592,0.25,0.555217831813577,2
1,"YFB_tuned",4,0.938181952343534,1,0.812439729990357,41
1,"YFB_alpha0",4,0.938199677454905,1,0.5,15
1,"LB_tuned",4,0.930473924261139,1,0.816297010607522,31
1,"PCA_Cox",4,0.737067752061634,0.75,0.814368370298939,NA
1,"EBMF",4,0.937929487090085,1,0.811957569913211,4
1,"YFB_tuned",5,0.937046499261275,1,0.854483096521313,32
1,"YFB_alpha0",5,0.936978110645486,1,0.5,12
1,"LB_tuned",5,0.681608135731091,0.75,0.841744243018128,32
1,"PCA_Cox",5,0.764932991718567,0.5,0.856932876041156,NA
1,"EBMF",5,0.936941630253463,1,0.85546300832925,4
2,"YFB_tuned",1,0.935255965310319,1,0.875378623972306,62
2,"YFB_alpha0",1,0.935252278212288,1,0.5,11
2,"LB_tuned",1,0.63599360845275,0.5,0.860666378191259,51
2,"PCA_Cox",1,0.691143454017965,0.75,0.866291648636954,NA
2,"EBMF",1,0.934859222371628,1,0.875378623972306,4
2,"YFB_tuned",2,0.939629886194662,1,0.843867924528302,69
2,"YFB_alpha0",2,0.939544476149077,1,0.5,10
2,"LB_tuned",2,0.624088865056259,0.5,0.642452830188679,52
2,"PCA_Cox",2,0.708966735147217,0.75,0.818396226415094,NA
2,"EBMF",2,0.940516357880718,1,0.84622641509434,4
2,"YFB_tuned",3,0.927771536658963,1,0.919724770642202,73
2,"YFB_alpha0",3,0.927643828106081,1,0.5,12
2,"LB_tuned",3,0.655851924959218,0.75,0.864220183486239,61
2,"PCA_Cox",3,0.55513013515287,0.5,0.885779816513761,NA
2,"EBMF",3,0.405142168926566,0.25,0.645412844036697,2
2,"YFB_tuned",4,0.936961120500214,1,0.906040268456376,90
2,"YFB_alpha0",4,0.936857230218341,1,0.5,16
