"scenario","k_setting","K_init","arm","seed","rec_shared","rec_specific","frac_shared","frac_specific","spec_acc","beta_tp_rate","beta_fp_rate","beta_shared","beta_specific","c_index","n_iter"
"all_shared","oracle_k6",6,"EBMF",4,0.923070052913788,NA,1,NA,1,NA,NA,NA,NA,0.892581888246628,6
"all_shared","ard_k12",12,"YFB_base",4,0.921347841407209,NA,1,NA,1,0.833333333333333,NA,0.109962187567682,NA,0.890655105973025,23
"all_shared","ard_k12",12,"EBMF",4,0.921432930885142,NA,1,NA,1,NA,NA,NA,NA,0.892100192678227,7
"all_shared","ard_k20",20,"YFB_base",4,0.921649312234926,NA,1,NA,1,0.833333333333333,NA,0.127903568951851,NA,0.886319845857418,41
"all_shared","ard_k20",20,"EBMF",4,0.921432930885142,NA,1,NA,1,NA,NA,NA,NA,0.892100192678227,7
"all_shared","under_k2",2,"YFB_base",5,0.231697203438762,NA,0.166666666666667,NA,0.333333333333333,0.333333333333333,NA,0.010220933525251,NA,0.598014888337469,26
"all_shared","under_k2",2,"EBMF",5,0.241087679254838,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,0.557816377171216,2
"all_shared","under_k3",3,"YFB_base",5,0.401516585981786,NA,0.333333333333333,NA,0.5,0.333333333333333,NA,0.0104031651261432,NA,0.598014888337469,48
"all_shared","under_k3",3,"EBMF",5,0.393986547018799,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.603473945409429,3
"all_shared","under_k4",4,"YFB_base",5,0.589755203676748,NA,0.5,NA,0.666666666666667,0.666666666666667,NA,0.064344569308238,NA,0.833746898263027,44
"all_shared","under_k4",4,"EBMF",5,0.591216806670896,NA,0.666666666666667,NA,0.666666666666667,NA,NA,NA,NA,0.832258064516129,4
"all_shared","oracle_k6",6,"YFB_base",5,0.924453121599814,NA,1,NA,1,1,NA,0.134709245674889,NA,0.870967741935484,56
"all_shared","oracle_k6",6,"EBMF",5,0.924340386880313,NA,1,NA,1,NA,NA,NA,NA,0.874937965260546,6
"all_shared","ard_k12",12,"YFB_base",5,0.911417195311447,NA,1,NA,1,1,NA,0.127893526495865,NA,0.872952853598015,32
"all_shared","ard_k12",12,"EBMF",5,0.924509979299081,NA,1,NA,1,NA,NA,NA,NA,0.872952853598015,6
"all_shared","ard_k20",20,"YFB_base",5,0.924112171917212,NA,1,NA,1,1,NA,0.134655816989041,NA,0.871960297766749,83
"all_shared","ard_k20",20,"EBMF",5,0.924509979299081,NA,1,NA,1,NA,NA,NA,NA,0.872952853598015,6
"all_shared","under_k2",2,"YFB_base",6,0.2869368046465,NA,0.333333333333333,NA,0.333333333333333,0.333333333333333,NA,0.00249828743814733,NA,0.578026251823043,7
"all_shared","under_k2",2,"EBMF",6,0.28685883404251,NA,0.333333333333333,NA,0.333333333333333,NA,NA,NA,NA,0.644628099173554,2
"all_shared","under_k3",3,"YFB_base",6,0.422577216685449,NA,0.333333333333333,NA,0.5,0.333333333333333,NA,0.00342461488892075,NA,0.651920272241128,41
"all_shared","under_k3",3,"EBMF",6,0.4230037212776,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.645600388915897,3
"all_shared","under_k4",4,"YFB_base",6,0.577156832519338,NA,0.666666666666667,NA,0.666666666666667,0.333333333333333,NA,0.00422543734912005,NA,0.681088964511424,14
"all_shared","under_k4",4,"EBMF",6,0.584171621287237,NA,0.5,NA,0.666666666666667,NA,NA,NA,NA,0.716577540106952,4
"all_shared","oracle_k6",6,"YFB_base",6,0.92453522740784,NA,1,NA,1,1,NA,0.124343201942218,NA,0.890131259115216,44
"all_shared","oracle_k6",6,"EBMF",6,0.924335280907612,NA,1,NA,1,NA,NA,NA,NA,0.889645114244045,6
"all_shared","ard_k12",12,"YFB_base",6,0.924085562274915,NA,1,NA,1,1,NA,0.127999451736213,NA,0.890617403986388,35
"all_shared","ard_k12",12,"EBMF",6,0.888482946903898,NA,1,NA,1,NA,NA,NA,NA,0.885755955274672,7
"all_shared","ard_k20",20,"YFB_base",6,0.924085672781521,NA,1,NA,1,0.833333333333333,NA,0.130751863796603,NA,0.889645114244045,70
"all_shared","ard_k20",20,"EBMF",6,0.888482946903898,NA,1,NA,1,NA,NA,NA,NA,0.885755955274672,7
"all_shared","under_k2",2,"YFB_base",7,0.269244077492255,NA,0.166666666666667,NA,0.333333333333333,0.333333333333333,NA,0.00155471560339817,NA,0.508636363636364,8
"all_shared","under_k2",2,"EBMF",7,0.26923150932254,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,0.523636363636364,2
"all_shared","under_k3",3,"YFB_base",7,0.434016218448259,NA,0.333333333333333,NA,0.5,0.5,NA,0.0121083701569872,NA,0.683636363636364,18
"all_shared","under_k3",3,"EBMF",7,0.434039297477656,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.675454545454545,3
"all_shared","under_k4",4,"YFB_base",7,0.605484367516425,NA,0.666666666666667,NA,0.666666666666667,0.666666666666667,NA,0.0434265507692502,NA,0.799090909090909,23
"all_shared","under_k4",4,"EBMF",7,0.60574284601534,NA,0.666666666666667,NA,0.666666666666667,NA,NA,NA,NA,0.795909090909091,4
"all_shared","oracle_k6",6,"YFB_base",7,0.918323711604239,NA,1,NA,1,1,NA,0.129375159466133,NA,0.885,59
"all_shared","oracle_k6",6,"EBMF",7,0.919101409881616,NA,1,NA,1,NA,NA,NA,NA,0.885909090909091,6
"all_shared","ard_k12",12,"YFB_base",7,0.914886343736912,NA,1,NA,1,1,NA,0.12792818107056,NA,0.886363636363636,51
"all_shared","ard_k12",12,"EBMF",7,0.91828469620871,NA,1,NA,1,NA,NA,NA,NA,0.884090909090909,7
"all_shared","ard_k20",20,"YFB_base",7,0.882551540005881,NA,1,NA,1,1,NA,0.124422775990809,NA,0.88,81
"all_shared","ard_k20",20,"EBMF",7,0.91828469620871,NA,1,NA,1,NA,NA,NA,NA,0.884090909090909,7
"all_shared","under_k2",2,"YFB_base",8,0.24920776182947,NA,0.166666666666667,NA,0.333333333333333,0.166666666666667,NA,0.000920019940703383,NA,0.554101660795169,8
"all_shared","under_k2",2,"EBMF",8,0.249169686963625,NA,0.166666666666667,NA,0.333333333333333,NA,NA,NA,NA,0.557624559637645,2
"all_shared","under_k3",3,"YFB_base",8,0.410224280369606,NA,0.333333333333333,NA,0.5,0.333333333333333,NA,0.00643856780768209,NA,0.603422244589834,18
"all_shared","under_k3",3,"EBMF",8,0.421824245454495,NA,0.333333333333333,NA,0.5,NA,NA,NA,NA,0.64720684448918,3
"all_shared","under_k4",4,"YFB_base",8,0.609818209653838,NA,0.666666666666667,NA,0.666666666666667,0.333333333333333,NA,0.00487411856867151,NA,0.578761952692501,45
"all_shared","under_k4",4,"EBMF",8,0.5926993290956,NA,0.666666666666667,NA,0.666666666666667,NA,NA,NA,NA,0.677403120281832,4
