"k_setting","scenario","estimated_factor","best_true_factor","best_cor","second_true_factor","second_cor","possible_merge"
"ard_k12","nothing_shared",6,"specific_1",0.782,"specific_2",0.245,FALSE
"ard_k12","nothing_shared",7,"specific_1",0.105,"specific_1",0.054,FALSE
"ard_k12","nothing_shared",8,"specific_1",0.852,"specific_2",0.279,FALSE
"ard_k12","nothing_shared",9,"specific_1",0.905,"specific_2",0.2,FALSE
"ard_k12","nothing_shared",10,"specific_1",0.625,"specific_2",0.153,FALSE
"ard_k12","nothing_shared",11,"specific_1",0,"specific_1",0,FALSE
"ard_k12","nothing_shared",12,"specific_1",0.142,"specific_2",0.112,FALSE
"ard_k20","all_shared",1,"shared",0.875,"shared",0.135,FALSE
"ard_k20","all_shared",2,"shared",0.973,"shared",0.243,FALSE
"ard_k20","all_shared",3,"shared",0.943,"shared",0.172,FALSE
"ard_k20","all_shared",4,"shared",0.173,"shared",0.118,FALSE
"ard_k20","all_shared",5,"shared",0.897,"shared",0.236,FALSE
"ard_k20","all_shared",6,"shared",0.905,"shared",0.245,FALSE
"ard_k20","all_shared",7,"shared",0.907,"shared",0.223,FALSE
"ard_k20","all_shared",8,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",9,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",10,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",11,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",12,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",13,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",14,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",15,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",16,"shared",0.082,"shared",0.053,FALSE
"ard_k20","all_shared",17,"shared",0.086,"shared",0.055,FALSE
"ard_k20","all_shared",18,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",19,"shared",0,"shared",0,FALSE
"ard_k20","all_shared",20,"shared",0.083,"shared",0.045,FALSE
"ard_k20","hybrid",1,"specific_2",0.903,"specific_1",0.169,FALSE
"ard_k20","hybrid",2,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",3,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",4,"specific_1",0.06,"shared",0.05,FALSE
"ard_k20","hybrid",5,"shared",0.905,"shared",0.232,FALSE
"ard_k20","hybrid",6,"specific_1",0.383,"specific_2",0.152,FALSE
"ard_k20","hybrid",7,"specific_2",0.934,"specific_1",0.177,FALSE
"ard_k20","hybrid",8,"shared",0.908,"specific_1",0.229,FALSE
"ard_k20","hybrid",9,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",10,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",11,"specific_1",0.961,"shared",0.253,FALSE
"ard_k20","hybrid",12,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",13,"specific_1",0.785,"shared",0.309,FALSE
"ard_k20","hybrid",14,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",15,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",16,"specific_2",0.157,"shared",0.087,FALSE
"ard_k20","hybrid",17,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",18,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",19,"shared",0,"shared",0,FALSE
"ard_k20","hybrid",20,"shared",0,"shared",0,FALSE
"ard_k20","nothing_shared",1,"specific_1",0.748,"specific_2",0.211,FALSE
"ard_k20","nothing_shared",2,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",3,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",4,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",5,"specific_2",0.931,"specific_1",0.156,FALSE
"ard_k20","nothing_shared",6,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",7,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",8,"specific_1",0.118,"specific_2",0.095,FALSE
"ard_k20","nothing_shared",9,"specific_1",0.911,"specific_2",0.209,FALSE
"ard_k20","nothing_shared",10,"specific_2",0.931,"specific_1",0.175,FALSE
"ard_k20","nothing_shared",11,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",12,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",13,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",14,"specific_1",0.674,"specific_2",0.175,FALSE
"ard_k20","nothing_shared",15,"specific_1",0.16,"specific_2",0.142,FALSE
"ard_k20","nothing_shared",16,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",17,"specific_1",0.856,"specific_2",0.277,FALSE
"ard_k20","nothing_shared",18,"specific_1",0,"specific_1",0,FALSE
"ard_k20","nothing_shared",19,"specific_2",0.945,"specific_1",0.237,FALSE
"ard_k20","nothing_shared",20,"specific_1",0,"specific_1",0,FALSE
