"Factor","Beta","NonZero_Pct","PVE_Pct"
1,0,100,14.127
2,0.0473,100,9.814
3,0,100,8.647
4,0.0302,100,4.222
5,-0.0348,100,3.691
6,0.0223,100,2.712
7,0.0735,100,2.61
8,0.3083,100,1.936
9,0,100,1.452
10,-0.1013,100,2.017
