"Factor","Beta","NonZero_Pct","PVE_Pct"
1,0.1515,100,7.59
2,0,100,7.004
3,0,100,0.896
4,0,100,2.622
5,0,100,2.853
6,0.0729,99.94,3.504
7,0.0927,99.98,1.055
8,0,100,2.71
