"Factor","Beta","NonZero_Pct","PVE_Pct"
1,0.0143,100,16.468
2,-0.3454,100,4.992
3,-0.0963,100,3.879
4,0.253,100,2.926
5,0,100,1.193
6,0,100,1.148
7,-0.004,100,1.359
8,0,100,1.13
