"GeneName","Weight"
"MALAT1",0.6901
"NEAT1",0.6704
"TALAM1",0.6446
"GOLGA8A",0.59
"FER1L4",0.5617
"LOC124900306",0.5587
"GOLGA8A_1",0.5198
"GSTM2",0.5102
"CCNL2",0.5024
"GOLGA8B",0.498
