"Iteration","RMSE","ELBO_Proxy"
1,0.989062118535787,-144051.543248815
2,1.04727649134835,-127402.303131099
3,1.0000748665997,-125234.475047108
4,0.99792839517713,-125005.276538032
5,0.997749607686701,-124981.726183266
6,0.997750505937945,-124979.615186309
7,0.997755977586071,-124980.447542371
8,0.997761359228828,-124982.401386516
9,0.997765397696168,-124982.804686761
10,0.997775245467876,-124976.495617259
11,0.99777408393097,-124966.618544684
12,0.997760474447285,-124963.681805425
13,0.997764481930054,-124964.140997995
14,0.99777978069325,-124965.024259139
15,0.997782702972064,-124966.893244419
16,0.997785896841297,-124970.962830942
17,0.997792452736269,-124978.783164046
18,0.997812741221567,-124989.729547111
19,0.997857370447001,-124990.647263475
20,0.997905369533308,-124963.750250768
21,0.997842108369183,-124943.914108312
22,0.997795675491181,-124936.684653497
23,0.997784090485635,-124936.178096217
24,0.997783487898853,-124936.096162625
25,0.997783316862468,-124936.045784029
26,0.997783201780985,-124936.005377958
27,0.997783116754098,-124935.971980632
28,0.997783053528466,-124935.944650996
29,0.997783009062346,-124935.922722647
30,0.99778298127405,-124935.905644376
31,0.997782968322936,-124935.892902423
32,0.997782968564481,-124935.884067564
33,0.997782980467407,-124935.881376662
34,0.997782999347758,-124935.879383686
35,0.997783029893571,-124935.878153701
36,0.99778307127414,-124935.88419294
37,0.997783114737248,-124935.890121247
38,0.997783166013982,-124935.896724857
39,0.997783224652352,-124935.906951088
40,0.99778328644198,-124935.918903867
41,0.997783352018647,-124935.932394787
42,0.997783421031625,-124935.947304146
43,0.997783493009938,-124935.963511518
44,0.997783567510239,-124935.980906058
45,0.997783644135432,-124935.999386605
46,0.997783722554082,-124936.018869215
47,0.997783802402517,-124936.039339353
48,0.997783883387216,-124936.060511227
49,0.9977839656034,-124936.082543036
50,0.997784048465055,-124936.105300937
51,0.997784131918113,-124936.128744191
52,0.997784215774338,-124936.152827568
53,0.997784299888793,-124936.177514117
54,0.997784384126705,-124936.202775768
55,0.997784468293335,-124936.228565668
56,0.997784552626805,-124936.254877848
57,0.99778463666191,-124936.281677109
58,0.997784720465391,-124936.308964626
59,0.9977848039141,-124936.336715171
60,0.997784886939015,-124936.36490276
61,0.997784969868726,-124936.393532245
62,0.997785052193197,-124936.422590635
63,0.997785134052688,-124936.452070579
64,0.99778521543096,-124936.481853893
65,0.997785295458409,-124936.512153817
66,0.997785375801105,-124936.542870213
67,0.997785455659714,-124936.573997836
68,0.997785535018799,-124936.605536812
69,0.997785613882744,-124936.637488883
70,0.997785692265722,-124936.669856849
71,0.997785770176297,-124936.702645694
72,0.997785847702552,-124936.735888529
73,0.997785924810737,-124936.769500671
74,0.997786001547253,-124936.803584247
75,0.997786077951638,-124936.838116903
76,0.997786154126037,-124936.87310453
77,0.997786230049899,-124936.908559328
78,0.997786305822142,-124936.944493007
79,0.997786381504864,-124936.980903401
80,0.997786456897593,-124937.01785806
81,0.997786532766637,-124937.05532091
82,0.997786608782629,-124937.093303898
83,0.997786684784961,-124937.131847568
84,0.997786761382206,-124937.170975221
85,0.997786838329592,-124937.210700676
86,0.997786915820515,-124937.251008161
87,0.997786993876945,-124937.292043711
88,0.997787073227187,-124937.333744683
89,0.997787153388291,-124937.376168787
90,0.997787234771025,-124937.419349658
91,0.997787317521578,-124937.463331676
92,0.997787401857335,-124937.508160995
93,0.997787487990632,-124937.553891523
94,0.997787576165469,-124937.600579337
95,0.997787666625274,-124937.648287935
96,0.997787759641328,-124937.697087519
97,0.997787855506014,-124937.747052258
98,0.997787954517413,-124937.798310297
99,0.997788057220769,-124937.850863953
100,0.99778816353954,-124937.904875875
