"GeneName","Weight"
"PNLIP",3.9042
"CELA3A",3.8777
"CPA1",3.799
"CPB1",3.6706
"CLPS",3.5819
"CELA2A",3.5788
"CELA3B",3.573
"CPA2",3.5311
"PLA2G1B",3.4355
"CTRB2",3.4207
