"GeneName","Weight"
"ADH1B",1.2248
"CHRDL1",1.223
"CCL19",1.2094
"MS4A1",1.1589
"S100A2",-1.111
"PGC",1.1092
"OGN",1.0989
"C7",1.0763
"REG4",1.0649
"KRT6A",-1.0604
