"GeneName","Weight"
"GCG",-3.075
"TTR",-2.7027
"INS",-2.6825
"SLC30A8",-2.1181
"G6PC2",-2.0168
"CHGA",-1.9052
"KCNK16",-1.9036
"CRYBA2",-1.8956
"PCSK2",-1.8566
"ABCC8",-1.8208
