"Factor","Beta_true","Beta_est","Beta2_est","Posterior_SD","Abs_Error","Sign_Match"
1,1.5,-0.2798,0.080505,0.0471,1.7798,FALSE
2,-1.2,0.8384,0.706093,0.0569,2.0384,FALSE
3,0.8,0,0,0,0.8,FALSE
4,-0.5,-0.7661,0.589513,0.0505,0.2661,TRUE
5,0,0.9912,0.985624,0.0562,0.9912,TRUE
