"Factor","Beta","LogRank_P","NonZero_Pct","PVE_Pct"
1,-0.28,0.7235,100,25.31
2,0.838,0,100,18.36
3,0,0.7062,100,15.55
4,-0.766,4e-04,100,15.36
5,0.991,0,100,13.3
