"Factor","Beta","LogRank_P","NonZero_Pct","PVE_Pct"
1,0.12,0.2266,100,7.77
2,0,0.9171,100,6.88
3,0,0.8539,100,2.46
4,0,0.2008,100,2.68
5,0,0.0996,100,2.81
