"Factor","Abs_Beta","PVE_Pct","Active"
1,0.2114,7.749,TRUE
2,0,7.052,TRUE
3,0.2015,3.229,TRUE
4,0,2.697,TRUE
5,0,2.812,TRUE
6,0.1376,1.669,TRUE
7,0.1198,1.141,TRUE
8,0.0898,1.676,TRUE
9,0,0.996,FALSE
10,0,0.843,FALSE
