"Factor","Beta","NonZero_Pct","PVE_Pct"
1,-0.112,100,13.443
2,0,100,9.378
3,-0.079,100,4.198
4,0,100,5.118
5,0.2343,100,3.563
6,0,100,1.981
7,0,100,0.749
8,0,100,1.429
9,0,100,1.242
