"Factor","Beta","LogRank_P","NonZero_Pct","PVE_Pct"
1,-0.357,0.0711,100,12.55
2,0,0.8435,100,7.76
3,0,0.6656,100,3.52
4,0.143,0.111,100,2.9
5,-0.395,0.0652,100,2.89
