"GeneName","Weight"
"CD48",0.5004
"PTPRC",0.4782
"CD2",0.4765
"HLA-DPA1",0.4527
"MZB1",0.4507
"MS4A6A",0.4411
"FAM83A",-0.4402
"JCHAIN",0.4386
"HLA-DRA",0.4325
"HLA-DQA1",0.4248
