"GeneName","Weight"
"ATP8",0.5433
"ATP6",0.5134
"CAPN8",0.4868
"EPS8L3",0.4795
"CYP3A5",0.478
"MTRNR2L1",0.4769
"ND3",0.4665
"LINC00504",0.4647
"MTRNR2L10",0.4638
"ND4",0.4565
