"Factor","Abs_Beta","PVE_Pct","Active"
1,0.6294,12.793,TRUE
2,0,7.793,TRUE
3,0,3.395,TRUE
4,0,2.933,TRUE
5,0.1843,1.451,TRUE
6,0.7924,2.173,TRUE
7,0,1.135,TRUE
8,0.19,0.934,TRUE
9,0,1.761,TRUE
10,0,0.738,FALSE
