"GeneName","Weight"
"CNN1",0.607
"MYH11",0.5983
"SYNPO2",0.5932
"TAGLN",0.59
"MYL9",0.563
"MYLK",0.532
"ACTA2",0.5152
"LMOD1",0.5115
"SPARCL1",0.5055
"ACTG2",0.4765
