"Factor","Beta","NonZero_Pct","PVE_Pct"
1,-0.0241,100,13.74
2,-0.2121,100,8.173
3,-0.0767,100,4.638
4,0,100,5.845
5,0.1763,100,3.576
6,0,100,1.382
7,0,100,2.018
8,0,100,1.244
9,0,100,1.327
