"Factor","Beta","NonZero_Pct","PVE_Pct"
1,0.131,100,8.116
2,0,100,6.793
3,0,100,0.893
4,0,100,2.661
5,0,100,2.948
6,0.0192,100,3.845
7,0.0919,100,1.019
8,0,100,2.783
