"GeneName","Weight"
"CPA2",2.0238
"CPA1",2.0187
"CTRB2",2.0074
"CELA3A",2.0071
"CTRC",2.0029
"CTRB1",1.997
"CLPS",1.9897
"PNLIPRP1",1.9706
"CELA3B",1.9694
"PNLIP",1.9596
