"Factor","Beta","LogRank_P","NonZero_Pct","PVE_Pct"
1,-0.09,0.1221,100,13.87
2,0,0.8152,100,9.22
3,-0.115,0.2931,100,3.74
4,0,0.2508,100,5.1
5,0.128,0.2419,100,3.4
